,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
483,#192 Best Public Elementary Schools in New Jersey,E,Montvale Board of Education School District,AOverall Niche Grade,"PK, K-4 ",Memorial Elementary School,510 Students,198.0,13:1 Student-Teacher Ratio, NJ ,montvale,Public School ,https://www.niche.com/k12/memorial-elementary-school-montvale-nj/
487,#193 Best Public Elementary Schools in New Jersey,E,Ramsey School District,AOverall Niche Grade,"PK, K-3 ",Wesley D. Tisdale Elementary School,364 Students,199.0,12:1 Student-Teacher Ratio, NJ ,ramsey,Public School ,https://www.niche.com/k12/wesley-d-tisdale-elementary-school-ramsey-nj/
489,#194 Best Public Elementary Schools in New Jersey,E,Franklin Lakes School District,AOverall Niche Grade,"PK, K-5 ",Colonial Road School,233 Students,200.0,7:1 Student-Teacher Ratio, NJ ,franklin-lakes,Public School ,https://www.niche.com/k12/colonial-road-school-franklin-lakes-nj/
491,#196 Best Public Elementary Schools in New Jersey,E,Englewood Cliffs School District,AOverall Niche Grade,3-8 ,Upper School,342 Students,201.0,9:1 Student-Teacher Ratio, NJ ,englewood-cliffs,Public School ,https://www.niche.com/k12/upper-school-englewood-cliffs-nj/
493,#197 Best Public Elementary Schools in New Jersey,E,Randolph Township School District,AOverall Niche Grade,K-5 ,Shongum Elementary School,453 Students,202.0,12:1 Student-Teacher Ratio, NJ ,randolph,Public School ,https://www.niche.com/k12/shongum-elementary-school-randolph-nj/
495,#198 Best Public Elementary Schools in New Jersey,E,Marlboro Township School District,AOverall Niche Grade,1-5 ,Marlboro Elementary School,461 Students,203.0,12:1 Student-Teacher Ratio, NJ ,marlboro,Public School ,https://www.niche.com/k12/marlboro-elementary-school-marlboro-nj/
498,#199 Best Public Elementary Schools in New Jersey,E,Washington Township School District (Long Valley),AOverall Niche Grade,K-5 ,Old Farmers Road Elementary School,329 Students,204.0,12:1 Student-Teacher Ratio, NJ ,long-valley,Public School ,https://www.niche.com/k12/old-farmers-road-elementary-school-long-valley-nj/
500,#200 Best Public Elementary Schools in New Jersey,E,Fairfield Public Schools,AOverall Niche Grade,"PK, K-3 ",Adlai E Stevenson School,369 Students,205.0,13:1 Student-Teacher Ratio, NJ ,fairfield,Public School ,https://www.niche.com/k12/adlai-e-stevenson-school-fairfield-nj/
502,#201 Best Public Elementary Schools in New Jersey,E,Montclair Public Schools,AOverall Niche Grade,K-5 ,Charles H. Bullock School,426 Students,206.0,11:1 Student-Teacher Ratio, NJ ,montclair,Public School ,https://www.niche.com/k12/charles-h-bullock-school-montclair-nj/
510,,E,,,,Montague Elementary School,,,,,montague,,https://www.niche.com/k12/montague-elementary-school-montague-nj/
518,,E,,,,Frenchtown Elementary School,,,,,frenchtown,,https://www.niche.com/k12/frenchtown-elementary-school-frenchtown-nj/
528,,E,,,,Shrewsbury Borough Elementary School,,,,,shrewsbury,,https://www.niche.com/k12/shrewsbury-borough-elementary-school-shrewsbury-nj/
570,,E,Brooklyn,NGOverall Niche Grade,K-8 ,KIPP AMP Charter School,868 Students,233.0,14:1 Student-Teacher Ratio, NY ,brooklyn-ny,Public School ,https://www.niche.com/k12/kipp-amp-charter-school-brooklyn-ny/
572,#227 Best Public Elementary Schools in New Jersey,E,West Orange Public Schools,AOverall Niche Grade,K-5 ,Redwood Elementary School,540 Students,234.0,11:1 Student-Teacher Ratio, NJ ,w-orange,Public School ,https://www.niche.com/k12/redwood-elementary-school-w-orange-nj/
574,#228 Best Public Elementary Schools in New Jersey,E,Morris Plains School District,AOverall Niche Grade,3-8 ,Borough School,368 Students,235.0,9:1 Student-Teacher Ratio, NJ ,morris-plains,Public School ,https://www.niche.com/k12/borough-school-morris-plains-nj/
576,#229 Best Public Elementary Schools in New Jersey,E,Wyckoff Township Public School District,AOverall Niche Grade,"PK, K-5 ",Sicomac Elementary School,265 Students,236.0,9:1 Student-Teacher Ratio, NJ ,wyckoff,Public School ,https://www.niche.com/k12/sicomac-elementary-school-wyckoff-nj/
580,#230 Best Public Elementary Schools in New Jersey,E,Monmouth Beach,AOverall Niche Grade,"PK, K-8 ",Monmouth Beach School District,239 Students,238.0,9:1 Student-Teacher Ratio, NJ ,district-monmouth-beach,Public School ,https://www.niche.com/k12/monmouth-beach-school-district-monmouth-beach-nj/
582,#231 Best Public Elementary Schools in New Jersey,E,Dumont Public School District,AOverall Niche Grade,"PK, K-8 ",Charles A. Selzer Elementary School,501 Students,239.0,12:1 Student-Teacher Ratio, NJ ,dumont,Public School ,https://www.niche.com/k12/charles-a-selzer-elementary-school-dumont-nj/
584,#232 Best Public Elementary Schools in New Jersey,E,Montville Township School District,AOverall Niche Grade,"PK, K-5 ",Valley View Elementary School,381 Students,240.0,10:1 Student-Teacher Ratio, NJ ,montville-township,Public School ,https://www.niche.com/k12/valley-view-elementary-school-montville-township-nj/
588,#233 Best Public Elementary Schools in New Jersey,E,Oakland Public School District,AOverall Niche Grade,K-5 ,Manito Elementary School,268 Students,241.0,10:1 Student-Teacher Ratio, NJ ,oakland,Public School ,https://www.niche.com/k12/manito-elementary-school-oakland-nj/
590,#234 Best Public Elementary Schools in New Jersey,E,Bethlehem Township School District,AOverall Niche Grade,"PK, K-5 ",Thomas.B. Conley Elementary School,208 Students,242.0,8:1 Student-Teacher Ratio, NJ ,asbury,Public School ,https://www.niche.com/k12/thomasb-conley-elementary-school-asbury-nj/
592,#235 Best Public Elementary Schools in New Jersey,E,Logan Township School District,AOverall Niche Grade,2-5 ,Logan Township Elementary School,354 Students,243.0,9:1 Student-Teacher Ratio, NJ ,logan-twp,Public School ,https://www.niche.com/k12/logan-township-elementary-school-logan-twp-nj/
595,#236 Best Public Elementary Schools in New Jersey,E,Springfield Public School District,AOverall Niche Grade,3-5 ,Thelma L. Sandmeier Elementary School,262 Students,244.0,11:1 Student-Teacher Ratio, NJ ,springfield,Public School ,https://www.niche.com/k12/thelma-l-sandmeier-elementary-school-springfield-nj/
597,#237 Best Public Elementary Schools in New Jersey,E,Montclair Public Schools,AOverall Niche Grade,"PK, 3-5 ",Hillside School,548 Students,245.0,10:1 Student-Teacher Ratio, NJ ,montclair,Public School ,https://www.niche.com/k12/hillside-school-montclair-nj/
599,#238 Best Public Elementary Schools in New Jersey,E,Denville Township K-8 School District,AOverall Niche Grade,"PK, K-5 ",Lakeview Elementary School,699 Students,246.0,12:1 Student-Teacher Ratio, NJ ,denville,Public School ,https://www.niche.com/k12/lakeview-elementary-school-denville-nj/
603,#239 Best Public Elementary Schools in New Jersey,E,Marlboro Township School District,AOverall Niche Grade,1-5 ,Robertsville Elementary School,530 Students,247.0,11:1 Student-Teacher Ratio, NJ ,morganville,Public School ,https://www.niche.com/k12/robertsville-elementary-school-morganville-nj/
605,#240 Best Public Elementary Schools in New Jersey,E,Long Hill Township School District,AOverall Niche Grade,2-5 ,Millington School,357 Students,248.0,11:1 Student-Teacher Ratio, NJ ,millington,Public School ,https://www.niche.com/k12/millington-school-millington-nj/
607,#241 Best Public Elementary Schools in New Jersey,E,Bridgewater-Raritan Regional School District,AOverall Niche Grade,K-4 ,Bradley Gardens Primary School,256 Students,249.0,11:1 Student-Teacher Ratio, NJ ,bridgewater,Public School ,https://www.niche.com/k12/bradley-gardens-primary-school-bridgewater-nj/
609,,E,,,,Oradell School,,,,,oradell,,https://www.niche.com/k12/oradell-school-oradell-nj/
611,#243 Best Public Elementary Schools in New Jersey,E,Parsippany-Troy Hills Township School District,AOverall Niche Grade,"PK, K-5 ",Littleton School,377 Students,250.0,13:1 Student-Teacher Ratio, NJ ,morris-plains,Public School ,https://www.niche.com/k12/littleton-school-morris-plains-nj/
615,#244 Best Public Elementary Schools in New Jersey,E,Wayne Township Public School District,AOverall Niche Grade,"PK, K-5 ",Albert P. Terhune Elementary School,407 Students,251.0,17:1 Student-Teacher Ratio, NJ ,wayne,Public School ,https://www.niche.com/k12/albert-p-terhune-elementary-school-wayne-nj/
617,#245 Best Public Elementary Schools in New Jersey,E,West Orange Public Schools,AOverall Niche Grade,K-5 ,Gregory Elementary School,468 Students,252.0,10:1 Student-Teacher Ratio, NJ ,w-orange,Public School ,https://www.niche.com/k12/gregory-elementary-school-w-orange-nj/
619,#246 Best Public Elementary Schools in New Jersey,E,Wyckoff Township Public School District,AOverall Niche Grade,K-5 ,George Washington Elementary School,329 Students,253.0,12:1 Student-Teacher Ratio, NJ ,wyckoff,Public School ,https://www.niche.com/k12/george-washington-elementary-school-wyckoff-nj/
621,#247 Best Public Elementary Schools in New Jersey,E,Monroe Township School District,AOverall Niche Grade,3-5 ,Brookside Elementary School,413 Students,254.0,13:1 Student-Teacher Ratio, NJ ,monroe-township,Public School ,https://www.niche.com/k12/brookside-elementary-school-monroe-township-nj/
623,#248 Best Public Elementary Schools in New Jersey,E,Sparta Township Public School District,AOverall Niche Grade,4-5 ,Helen Morgan School,468 Students,255.0,13:1 Student-Teacher Ratio, NJ ,sparta,Public School ,https://www.niche.com/k12/helen-morgan-school-sparta-nj/
626,#249 Best Public Elementary Schools in New Jersey,E,Mahwah Township Public School District,AOverall Niche Grade,"PK, K-3 ",Lenape Meadows Elementary School,424 Students,256.0,13:1 Student-Teacher Ratio, NJ ,mahwah,Public School ,https://www.niche.com/k12/lenape-meadows-elementary-school-mahwah-nj/
628,#250 Best Public Elementary Schools in New Jersey,E,Manalapan-Englishtown Regional Schools,AOverall Niche Grade,1-5 ,Wemrock Brook School,677 Students,257.0,14:1 Student-Teacher Ratio, NJ ,manalapan,Public School ,https://www.niche.com/k12/wemrock-brook-school-manalapan-nj/
630,#251 Best Public Elementary Schools in New Jersey,E,Old Bridge Township School District,AOverall Niche Grade,K-5 ,James McDivitt Elementary School,433 Students,258.0,13:1 Student-Teacher Ratio, NJ ,old-bridge,Public School ,https://www.niche.com/k12/james-mcdivitt-elementary-school-old-bridge-nj/
640,,E,,,,Lester C. Noecker School,,,,,roseland,,https://www.niche.com/k12/lester-c-noecker-school-roseland-nj/
654,#259 Best Public Elementary Schools in New Jersey,E,Chesterfield,AOverall Niche Grade,"PK, K-6 ",Chesterfield Elementary School,763 Students,268.0,13:1 Student-Teacher Ratio, NJ ,chesterfield,Public School ,https://www.niche.com/k12/chesterfield-elementary-school-chesterfield-nj/
656,#260 Best Public Elementary Schools in New Jersey,E,Marlboro Township School District,AOverall Niche Grade,1-5 ,Asher Holmes Elementary School,582 Students,269.0,12:1 Student-Teacher Ratio, NJ ,morganville,Public School ,https://www.niche.com/k12/asher-holmes-elementary-school-morganville-nj/
659,,E,,,,Brielle Elementary School,,,,,brielle,,https://www.niche.com/k12/brielle-elementary-school-brielle-nj/
661,#262 Best Public Elementary Schools in New Jersey,E,South Brunswick School District,AOverall Niche Grade,K-5 ,Greenbrook Elementary School,376 Students,270.0,11:1 Student-Teacher Ratio, NJ ,kendall-park,Public School ,https://www.niche.com/k12/greenbrook-elementary-school-kendall-park-nj/
663,#263 Best Public Elementary Schools in New Jersey,E,Hoboken,AOverall Niche Grade,K-8 ,Elysian Charter School,290 Students,271.0,12:1 Student-Teacher Ratio, NJ ,hoboken,Public School ,https://www.niche.com/k12/elysian-charter-school-hoboken-nj/
667,#264 Best Public Elementary Schools in New Jersey,E,Franklin Lakes School District,AOverall Niche Grade,K-5 ,Woodside Avenue Elementary School,234 Students,272.0,8:1 Student-Teacher Ratio, NJ ,franklin-lakes,Public School ,https://www.niche.com/k12/woodside-avenue-elementary-school-franklin-lakes-nj/
669,#265 Best Public Elementary Schools in New Jersey,E,Monroe Township School District,AOverall Niche Grade,4-5 ,Applegarth Elementary School,364 Students,273.0,16:1 Student-Teacher Ratio, NJ ,monroe-twp,Public School ,https://www.niche.com/k12/applegarth-elementary-school-monroe-twp-nj/
671,#266 Best Public Elementary Schools in New Jersey,E,Branchburg Township School District,AOverall Niche Grade,4-5 ,Stony Brook School,331 Students,274.0,9:1 Student-Teacher Ratio, NJ ,branchburg,Public School ,https://www.niche.com/k12/stony-brook-school-branchburg-nj/
673,#267 Best Public Elementary Schools in New Jersey,E,Middlesex Borough School District,AOverall Niche Grade,K-3 ,Watchung Elementary School,190 Students,275.0,16:1 Student-Teacher Ratio, NJ ,middlesex,Public School ,https://www.niche.com/k12/watchung-elementary-school-middlesex-nj/
675,#268 Best Public Elementary Schools in New Jersey,E,Washington Township School District,AOverall Niche Grade,1-5 ,Whitman Elementary School,373 Students,276.0,8:1 Student-Teacher Ratio, NJ ,turnersville,Public School ,https://www.niche.com/k12/whitman-elementary-school-turnersville-nj/
679,#269 Best Public Elementary Schools in New Jersey,E,Scotch Plains-Fanwood School District,AOverall Niche Grade,"PK, K-4 ",School One Elementary School,395 Students,277.0,12:1 Student-Teacher Ratio, NJ ,one-elementary-,Public School ,https://www.niche.com/k12/school-one-elementary-school-scotch-plains-nj/
681,#270 Best Public Elementary Schools in New Jersey,E,Mansfield Township School District (Columbus),AOverall Niche Grade,3-6 ,Mansfield Township Elementary School,385 Students,278.0,10:1 Student-Teacher Ratio, NJ ,columbus,Public School ,https://www.niche.com/k12/mansfield-township-elementary-school-columbus-nj/
683,#271 Best Public Elementary Schools in New Jersey,E,Dumont Public School District,AOverall Niche Grade,K-5 ,Grant School,357 Students,279.0,12:1 Student-Teacher Ratio, NJ ,dumont,Public School ,https://www.niche.com/k12/grant-school-dumont-nj/
685,#272 Best Public Elementary Schools in New Jersey,E,Chester School District,AOverall Niche Grade,3-5 ,Bragg School,347 Students,280.0,9:1 Student-Teacher Ratio, NJ ,chester,Public School ,https://www.niche.com/k12/bragg-school-chester-nj/
687,#273 Best Public Elementary Schools in New Jersey,E,Parsippany-Troy Hills Township School District,AOverall Niche Grade,K-5 ,Troy Hills School,236 Students,281.0,10:1 Student-Teacher Ratio, NJ ,parsippany,Public School ,https://www.niche.com/k12/troy-hills-school-parsippany-nj/
690,#274 Best Public Elementary Schools in New Jersey,E,River Vale Public School District,AOverall Niche Grade,"PK, K-5 ",Woodside Elementary School,342 Students,282.0,15:1 Student-Teacher Ratio, NJ ,river-vale,Public School ,https://www.niche.com/k12/woodside-elementary-school-river-vale-nj/
692,#275 Best Public Elementary Schools in New Jersey,E,Green Brook Township Public School District,AOverall Niche Grade,"PK, K-4 ",Irene E. Feldkirchner Elementary School,436 Students,283.0,11:1 Student-Teacher Ratio, NJ ,green-brook,Public School ,https://www.niche.com/k12/irene-e-feldkirchner-elementary-school-green-brook-nj/
694,,E,,,,Riverton School,,,,,riverton,,https://www.niche.com/k12/riverton-school-riverton-nj/
702,#278 Best Public Elementary Schools in New Jersey,E,Bedminster,AOverall Niche Grade,"PK, K-8 ",Bedminster Township School,521 Students,287.0,10:1 Student-Teacher Ratio, NJ ,bedminster,Public School ,https://www.niche.com/k12/bedminster-township-school-bedminster-nj/
704,#279 Best Public Elementary Schools in New Jersey,E,Middletown Township Public School District,AOverall Niche Grade,K-5 ,Middletown Village Elementary School,355 Students,288.0,12:1 Student-Teacher Ratio, NJ ,middletown,Public School ,https://www.niche.com/k12/middletown-village-elementary-school-middletown-nj/
735,,E,,,,Marian E. McKeown School,,,,,newton,,https://www.niche.com/k12/marian-e-mckeown-school-newton-nj/
872,#344 Best Public Elementary Schools in New Jersey,E,Somerset,A-Overall Niche Grade,K-12 ,Central Jersey College Prep Charter School,476 Students,359.0,10:1 Student-Teacher Ratio, NJ ,somerset,Public School ,https://www.niche.com/k12/central-jersey-college-prep-charter-school-somerset-nj/
